StopCode,StopName,Country,StopLat,StopLng
MRB,Mariënberg,NL,52.50944519043,6.5752778053284
MARNE,Marne-la-Vallée-Chessy,F,48.86826,2.78218
MARS,Marseille-St-Charles,F,43.30381,5.38195
MTH,Martenshoek,NL,53.1607232,6.7402989
MECH,Mechelen,B,51.01758,4.48313
MES,Meerssen,NL,50.882879392551,5.7509994506836
LM,Melsele,B,51.210556,4.286667
MP,Meppel,NL,52.69083404541,6.1975002288818
EMTE,Metelen Land,D,52.162444,7.254423
MDB,Middelburg,NL,51.494720458984,3.6172223091126
DOMOD,Milano Porta Garibaldi,I,45.484722,9.187778
BLTM,Milmort,B,50.69301,5.59983
MINDEN,Minden (Westf),D,52.290138,8.934728
MCGB,Mönchengladbach Hbf,D,51.196583,6.446111
MMLH,Mook-Molenhoek,NL,51.766262,5.879133
MOUT,Moutiers-Salins-Brides,F,45.48664,6.53105
MUNCHH,München Hbf,D,48.140203335951,11.558346748352
STRAUB,München Ost,D,48.1275,11.605
ENHF,Münster (W) Zentrum Nord,D,51.984987,7.63861
MUNST,Münster (Westf) Hbf,D,51.956892,7.635895
ENBE,Münster-Häger,D,52.022327,7.562668
NDB,Naarden-Bussum,NL,52.280277252197,5.1569442749023
NEUSS,Neuss Hbf,D,51.20444,6.68468
LNI,Niel,B,51.11154,4.33845
NA,Nieuw Amsterdam,NL,52.718612670898,6.8486108779907
NVP,Nieuw Vennep,NL,52.258888244629,4.6455554962158
NWK,Nieuwerkerk a/d IJssel,NL,51.965278625488,4.6169443130493
FNU,Nieuwkerken-Waas,B,51.185556,4.185832
NKK,Nijkerk,NL,52.222221374512,5.4938888549805
NM,Nijmegen,NL,51.843612670898,5.8522224426269
NMD,Nijmegen Dukenburg,NL,51.824165344238,5.7955555915833
NMGO,Nijmegen Goffert,NL,51.8273,5.822722
NMH,Nijmegen Heyendaal,NL,51.826946258545,5.8674998283386
NML,Nijmegen Lent,NL,51.863154,5.859625
NVD,Nijverdal,NL,52.366111,6.462
NDKP,Noorderkempen,B,51.358088,4.633977
ENOW,Nordwalde,D,52.077618,7.461706
NS,Nunspeet,NL,52.370834350586,5.7852778434753
NURNB,Nürnberg Hbf,D,49.4449634,11.0826087
NH,Nuth,NL,50.919445037842,5.8927779197693
OBD,Obdam,NL,52.67805480957,4.9072222709656
OBERH,Oberhausen Hbf,D,51.47512,6.852038
OBERHS,Oberhausen-Sterkrade,D,51.512222,6.843611
EOP,Ochtrup,D,52.201703,7.182643
RO,Offenburg,D,48.476475,7.946723
OT,Oisterwijk,NL,51.582221984863,5.1941666603088
ODZ,Oldenzaal,NL,52.30638885498,6.9347224235535
OST,Olst,NL,52.334720611572,6.1130557060242
OMN,Ommen,NL,52.50944519043,6.4158334732056
OTB,Oosterbeek,NL,51.994998931885,5.8400001525879
OP,Opheusden,NL,51.9261615,5.6371145
OSNH,Osnabrück Hbf,D,52.272851,8.061781
O,Oss,NL,51.765556335449,5.5322222709656
OW,Oss West,NL,51.758056640625,5.5055556297302
ODB,Oudenbosch,NL,51.587776184082,4.5333333015442
OVN,Overveen,NL,52.391109466553,4.6061110496521
PARIS,Paris-Nord,F,48.87977,2.35575
PASS,Passau Hbf,D,48.573426952347,13.450870513916
TP,Plochingen,D,48.71308,9.41081
EPRA,Praest,D,51.821944,6.345556
EPRN,Preussen,D,51.58833,7.53933
PMR,Purmerend,NL,52.50305557251,4.9536108970642
PMO,Purmerend Overwhere,NL,52.511390686035,4.9683332443237
PMW,Purmerend Weidevenne,NL,52.496590632542,4.9356293678284
PT,Putten,NL,52.264999389648,5.5752778053284
FRP,Puurs,B,51.07716,4.28273
RAT,Raalte,NL,52.391666412354,6.2775001525879
RVS,Ravenstein,NL,51.794166564941,5.6358332633972
REGENB,Regensburg Hbf,D,49.011672,12.099617
RV,Reuver,NL,51.28321916653,6.0789585113525
RH,Rheden,NL,52.0101,6.0314
RHEINE,Rheine,D,52.276299,7.434255
RHN,Rhenen,NL,51.958610534668,5.5783333778381
RSN,Rijssen,NL,52.3122215271,6.5202779769897
RSW,Rijswijk,NL,52.039722442627,4.3191666603088
RB,Rilland-Bath,NL,51.422779083252,4.1611108779907
RM,Roermond,NL,51.193054199219,5.9941668510437
RD,Roodeschool,NL,53.421262,6.7587
RSD,Roosendaal,NL,51.540279388428,4.4583334922791
EHW,Rosendahl-Holtwick,D,51.99946726041,7.1215009689331
ROSENH,Rosenheim,D,47.85,12.119167
RS,Rosmalen,NL,51.714721679688,5.3680553436279
RTA,Rotterdam Alexander,NL,51.951946258545,4.5536112785339
RTB,Rotterdam Blaak,NL,51.920276641846,4.4888887405395
RTD,Rotterdam Centraal,NL,51.92499923706,4.468888759613
RLB,Rotterdam Lombardijen,NL,51.880001068115,4.531388759613
RTN,Rotterdam Noord,NL,51.942222595215,4.4816665649414
RTST,Rotterdam Stadion,NL,51.893890380859,4.5197219848633
RTZ,Rotterdam Zuid,NL,51.904445648193,4.5102777481079
FSV,Ruisbroek-Sauvegarde,B,51.08115,4.32551
RL,Ruurlo,NL,52.0810888,6.4492656
SCHARD,Salzburg Hbf,A,47.813056,13.045833
SPTN,Santpoort Noord,NL,52.43388748169,4.6325001716614
SPTZ,Santpoort Zuid,NL,52.419723510742,4.6313886642456
SSH,Sassenheim,NL,52.215278,4.517222
SWD,Sauwerd,NL,53.29113,6.5404
SGN,Schagen,NL,52.784442901611,4.8052778244019
SDA,Scheemda,NL,53.1655362,6.9777775
SCHLL,Schelle,B,51.12555,4.34023
SDM,Schiedam Centrum,NL,51.921243812803,4.4089937210083
SOG,Schin op Geul,NL,50.856388092041,5.8722224235535
SN,Schinnen,NL,50.939167022705,5.8744444847107
SHL,Schiphol Airport,NL,52.30944442749,4.7619442939758
KSWE,Schwelm,D,51.290526,7.289681
ESRT,Schwerte (Ruhr),D,51.442281,7.55896
ESEM,Selm,D,51.707885,7.453396
ESEB,Selm-Beifang,D,51.692947,7.454829
KSB,Siegburg/Bonn,D,50.7939411,7.2030017
LSW,Sinaai,B,51.143333,4.068889
MARIA,Sint-Mariaburg,B,51.29126,4.43495
FSN,Sint-Niklaas,B,51.171944,4.144167
STD,Sittard,NL,51.001667022705,5.8586111068726
SDT,Sliedrecht,NL,51.829723358154,4.7783331871033
SDTB,Sliedrecht Baanhoek,NL,51.829722,4.743333
SK,Sneek,NL,53.0328688,5.6523969
SKND,Sneek Noord,NL,53.0409319,5.6631808
ST,Soest,NL,52.173332214355,5.3099999427795
STZ,Soest Zuid,NL,52.165279388428,5.3030557632446
SD,Soestdijk,NL,52.183612823486,5.3000001907349
SBK,Spaubeek,NL,50.94327,5.850529
POLTEN,St.Pölten Hbf,A,48.20769,15.62591
STV,Stavoren,NL,52.8865535,5.3600212
STM,Stedum,NL,53.3262092,6.6875551
SWK,Steenwijk,NL,52.791510992432,6.1145557632446
EBGO,Steinfurt-Borghorst,D,52.118791,7.397581
EBFT,Steinfurt-Burgsteinfurt,D,52.147384,7.32934
EGRK,Steinfurt-Grottenkamp,D,52.123439,7.376031
LS,Stendal,D,52.594723,11.854412
TS,Stuttgart Hbf,D,48.784084,9.181635
SRN,Susteren,NL,51.061389923096,5.8630557060242
SM,Swalmen,NL,51.23582,6.03228
TG,Tegelen,NL,51.33894,6.14253
TBG,Terborg,NL,51.9224549,6.3642466
TL,Tiel,NL,51.889446258545,5.4222221374512
TPSW,Tiel Passewaaij,NL,51.873889923096,5.39222240448
